timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1556125304192,220,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,5,5,null,0,0,0
1556125304219,251,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,5,5,null,0,0,0
1556125304269,244,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3744,0,5,5,null,0,0,0
1556125304315,255,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,5,5,null,0,0,0
1556125304363,258,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,5,5,null,0,0,0
1556125304417,258,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,5,5,null,0,0,0
1556125304476,248,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,5,5,null,0,0,0
1556125304517,244,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3744,0,5,5,null,0,0,0
1556125304575,254,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,5,5,null,0,0,0
1556125304626,244,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,5,5,null,0,0,0
1556125304689,225,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,5,5,null,0,0,0
1556125304730,240,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,5,5,null,0,0,0
1556125304769,265,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3744,0,5,5,null,0,0,0
1556125304839,245,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,5,5,null,0,0,0
1556125304876,243,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,5,5,null,0,0,0
1556125304922,252,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,5,5,null,0,0,0
1556125304975,248,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,5,5,null,0,0,0
